# OMROP SS input data for ML training
          0.003,         -0.564,          4.000,         -3.000,         45.477,        158.272,        664.758,         78.360,         -1.546

          0.506,         -0.569,          3.000,         -3.000,         42.040,        155.869,        692.852,         78.360,         -0.757

          0.004,         -0.576,          2.000,         -3.000,         35.850,        151.587,        728.508,         78.360,         -0.135

          0.123,         -0.066,          4.000,          1.000,        362.828,        205.992,       2067.900,         35.690,         -2.061

          0.113,         -0.066,          3.000,          1.000,        340.304,        193.170,       2129.865,         35.690,         -0.745

          0.125,         -0.059,          2.000,          1.000,        332.967,        188.833,       2175.637,          8.930,         -0.476

          0.154,         -0.065,          1.000,          1.000,        327.249,        185.774,       2219.955,         35.690,         -1.995

          0.472,         -0.059,          2.000,          1.000,        344.955,        195.756,       2215.682,          8.930,         -1.799

          0.203,         -0.580,          4.000,          3.000,         95.665,        159.201,       2002.208,         78.360,          0.602

          0.028,         -0.579,          3.000,          3.000,         89.177,        155.943,       2060.629,         78.360,         -1.138

          0.082,         -0.581,          2.000,          3.000,         83.975,        153.248,       2116.259,         78.360,          1.541

          0.107,         -0.581,          1.000,          3.000,         84.109,        153.376,       2156.282,         78.360,          1.099

          0.253,         -0.579,          2.000,          3.000,         86.626,        154.473,       2159.483,         78.360,          0.468

          0.092,         -0.636,          4.000,          3.000,         56.818,        134.500,       1143.630,         78.360,         -3.292

          3.214,         -0.621,          1.000,          3.000,         55.666,        135.685,       1529.416,         78.360,          0.955

          2.849,         -0.471,          4.000,          3.000,        427.110,        254.374,       3925.860,         35.690,         -0.862

          2.868,         -0.473,          3.000,          3.000,        427.789,        254.114,       3991.216,         35.690,         -0.329

          2.944,         -0.472,          2.000,          3.000,        425.510,        252.479,       4043.164,         35.690,          0.751

          3.111,         -0.475,          1.000,          3.000,        419.174,        248.496,       4118.697,         35.690,         -0.491

          2.638,         -0.471,          2.000,          3.000,        419.936,        249.434,       4131.131,         35.690,          0.358

          0.001,         -0.056,          4.000,          1.000,        429.287,        262.091,       3855.820,          8.930,         -1.293

          0.003,         -0.056,          3.000,          1.000,        421.460,        257.343,       3940.959,          8.930,         -0.772

          0.383,         -0.057,          2.000,          1.000,        421.261,        257.182,       3999.941,          8.930,          0.419

          0.001,         -0.056,          1.000,          1.000,        417.691,        254.572,       4060.817,          8.930,          5.251

          0.007,         -0.057,          2.000,          1.000,        419.261,        255.914,       4056.832,          8.930,         -0.711

          0.319,         -0.452,          3.000,          3.000,        469.491,        289.631,       4392.381,         78.360,         -1.380

          0.731,         -0.452,          2.000,          3.000,        464.536,        286.425,       4459.417,         78.360,          2.452

          0.025,         -0.453,          1.000,          3.000,        462.939,        285.214,       4528.919,         78.360,          1.272

          1.229,         -0.437,          4.000,          3.000,        526.566,         25.689,       5332.428,         78.360,          0.353

          0.330,         -0.437,          2.000,          3.000,        513.920,         17.098,       5512.286,         78.360,          2.041

          0.361,         -0.439,          1.000,          3.000,        511.573,         15.822,       5602.019,         78.360,          1.444

         12.944,         -0.461,          4.000,          3.000,        479.693,        295.524,       4356.992,         78.360,          0.065

          0.534,         -0.451,          2.000,          3.000,        471.508,        290.242,       4517.174,         78.360,          1.946

          0.040,         -0.451,          1.000,          3.000,        466.621,        286.964,       4569.530,         78.360,          1.248

          1.313,         -0.119,          2.000,         -1.000,        333.027,        204.487,       2584.962,         78.360,          0.590

         19.641,         -0.072,          2.000,          0.000,        374.707,        229.283,       3039.714,         78.360,          1.295

         27.388,         -0.179,          4.000,          1.000,        305.829,        184.294,       1411.277,         78.360,         -2.768

          0.275,         -0.272,          1.000,         -2.000,        501.003,         11.200,       3740.434,         78.360,         -1.626

          0.580,         -0.542,          6.000,         -3.000,         67.843,        168.065,       1683.432,         78.360,         -5.603

